user_id,persona,drift_direction,had_spike
u0000,high_risk,-1,False
u0001,borderline,1,False
u0002,weekend_binger,0,False
u0003,high_risk,-1,False
u0004,healthy,0,False
u0005,weekend_binger,0,False
u0006,high_risk,-1,False
u0007,high_risk,0,False
u0008,healthy,0,False
u0009,borderline,0,False
u0010,borderline,0,False
u0011,weekend_binger,0,False
u0012,borderline,0,False
u0013,high_risk,0,False
u0014,borderline,0,False
u0015,healthy,0,False
u0016,borderline,0,False
u0017,healthy,0,False
u0018,high_risk,0,False
u0019,borderline,0,False
u0020,high_risk,0,False
u0021,borderline,0,False
u0022,weekend_binger,0,False
u0023,weekend_binger,0,False
u0024,high_risk,0,False
u0025,healthy,0,False
u0026,borderline,0,False
u0027,healthy,0,True
u0028,healthy,0,False
u0029,high_risk,1,False
u0030,high_risk,0,False
u0031,weekend_binger,0,False
u0032,healthy,0,False
u0033,borderline,0,False
u0034,borderline,0,False
u0035,healthy,0,False
u0036,healthy,0,False
u0037,borderline,0,False
u0038,healthy,0,False
u0039,high_risk,1,False
u0040,borderline,1,False
u0041,high_risk,-1,False
u0042,high_risk,0,False
u0043,healthy,0,True
u0044,high_risk,0,False
u0045,high_risk,-1,False
u0046,borderline,0,False
u0047,healthy,0,False
u0048,high_risk,0,False
u0049,healthy,0,False
u0050,healthy,0,False
u0051,healthy,0,False
u0052,high_risk,0,False
u0053,high_risk,0,False
u0054,high_risk,-1,False
u0055,high_risk,0,False
u0056,borderline,0,False
u0057,borderline,0,False
u0058,healthy,0,False
u0059,healthy,0,False
u0060,high_risk,0,False
u0061,borderline,-1,False
u0062,borderline,1,False
u0063,high_risk,0,False
u0064,borderline,1,False
u0065,borderline,0,False
u0066,borderline,1,False
u0067,healthy,0,False
u0068,healthy,0,True
u0069,borderline,0,False
u0070,healthy,0,False
u0071,borderline,1,False
u0072,weekend_binger,0,False
u0073,healthy,0,False
u0074,healthy,0,True
u0075,healthy,0,False
u0076,healthy,0,False
u0077,high_risk,0,False
u0078,borderline,0,False
u0079,high_risk,1,False
u0080,high_risk,-1,False
u0081,borderline,1,False
u0082,high_risk,0,False
u0083,healthy,0,False
u0084,healthy,0,False
u0085,healthy,0,False
